"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"64","RT @EconomicTimes: I was asked to close case against Ram Rahim: Ex-CBI officer M. Narayanan 
https://t.co/KJjYSZRMca",FALSE,0,NA,2017-08-29 13:51:43,FALSE,NA,"902529196806639617",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","brarkaran_",212,TRUE,FALSE,NA,NA
"65","RT @ajplus: Gurmeet Ram Rahim Singh, a popular spiritual guru, has been sentenced to 10 years for rape. Here’s what happened: https://t.co/…",FALSE,0,NA,2017-08-29 13:51:41,FALSE,NA,"902529189277876225",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","blaworblakasuta",1025,TRUE,FALSE,NA,NA
"66","RT @TrueIndology: Ram Rahim supporters riot=&gt;entire Dera property confiscated
Jihadi Burhan Wani wages war on India, kills Police=&gt; His fam…",FALSE,0,NA,2017-08-29 13:51:37,FALSE,NA,"902529172605685760",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","AviralKapoor_",1203,TRUE,FALSE,NA,NA
"67","RT @latestgossip4: India rapist guru: Judge calls Gurmeet Ram Rahim Singh ‘wild beast’ https://t.co/InAsShRHrs #gossip #news",FALSE,0,NA,2017-08-29 13:51:35,FALSE,NA,"902529163298557953",NA,"<a href=""http://twitterstand.umiacs.umd.edu/News/"" rel=""nofollow"">bostonlocalnews001</a>","bostonnewslocal",1,TRUE,FALSE,NA,NA
"68","RT @pbhushan1: Watch:Ram Rahim be shifted to jail outside Haryana.Sakshi must be booked. No more Politicos using religion for votes
https:/…",FALSE,0,NA,2017-08-29 13:51:27,FALSE,NA,"902529128590479361",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dharmraj30",17,TRUE,FALSE,NA,NA
"69","RT @Madan_Chikna: Baba Gurmeet Ram Rahim Singh Before and After he was convicted 

#RamRahimSentencing https://t.co/3r9KGzMCwn",FALSE,0,NA,2017-08-29 13:51:23,FALSE,NA,"902529115139407873",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Kuldeepjain01",638,TRUE,FALSE,NA,NA
"70","RT @NationalistRavi: Now with Gurmeet Ram Rahim gone, next thing needs to be checked is the 'conversions' to Christianity by Missionaries!",FALSE,0,NA,2017-08-29 13:51:21,FALSE,NA,"902529104452370432",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","KalpanaSubrama5",78,TRUE,FALSE,NA,NA
"71","RT @GoNews24x7: Women activists in the country have hailed the sentencing of Dera chief Ram Rahim: https://t.co/pGPIaBXF8B https://t.co/YGm…",FALSE,0,NA,2017-08-29 13:51:18,FALSE,NA,"902529091873660928",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","darainshahidi",1,TRUE,FALSE,NA,NA
"72","RT @Being_Humor: Hope mumbaikars now realise magical powers of Shri Gurmeet Ram Rahim Singh Insan ji.",FALSE,0,NA,2017-08-29 13:51:15,FALSE,NA,"902529079852666880",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","desaiankeet",19,TRUE,FALSE,NA,NA
"73","RT @pbhushan1: Watch:Ram Rahim be shifted to jail outside Haryana.Sakshi must be booked. No more Politicos using religion for votes
https:/…",FALSE,0,NA,2017-08-29 13:51:15,FALSE,NA,"902529079080976385",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","IchbinUjjaini",17,TRUE,FALSE,NA,NA
"74","RT @priyankac19: Wish she drew Haryana govt's attention to the build up of Ram Rahim followers since last 3 days&amp;the local TV covering it.…",FALSE,0,NA,2017-08-29 13:51:08,FALSE,NA,"902529048806432768",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","deepakkhatri812",335,TRUE,FALSE,NA,NA
"75","RT @famousaunty: Exclusive video footage of Asaram and Ram Rahim in jail <ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082><ed><U+00A0><U+00BD><ed><U+00B8><U+0082> https://t.co/QjKtwNhkju",FALSE,0,NA,2017-08-29 13:51:05,FALSE,NA,"902529036651454466",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Pappuku50299967",75,TRUE,FALSE,NA,NA
"76","RT @Being_Humor: Hope mumbaikars now realise magical powers of Shri Gurmeet Ram Rahim Singh Insan ji.",FALSE,0,NA,2017-08-29 13:51:05,FALSE,NA,"902529036408070144",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","mihir30",19,TRUE,FALSE,NA,NA
